DriverID,Nationality,Last_Name,First_Name,Total_Ind_Score,Year,Team_Name
1,AUS,RICCIARDO,DANIEL,0,2020,RENAULT
2, GBR, NORRIS, LANDO,0,2020,MCLAREN RENAULT
3,GER,VETTEL,SEBASTIAN,0,2020,FERRARI
4,CAN,LATIFI,NICHOLAS,0,2020,WILLIAMS MERCEDES
5,FIN,RAIKKONEN,KIMI,0,2020,ALFA ROMEO FERRARI
6,FRA,GROSJEAN,ROMAN,0,2020,HAAS FERRARI
7,FRA,GASLY,PIERE,0,2020,ALPHATAURI HONDA
8,MEX,PEREZ,SEGIO,0,2020,RACING POINT BWT MERCEDES
9,MON,LECLERC,CHARLES,0,2020,FERRARI
10,CAN,STROLL,LANCE,0,2020,RACING POINT BWT MERCEDES
11,DEN,MAGNUSSEN,KEVIN,0,2020,HAAS FERRARI
12,THA,ALBON,ALEX,0,2020,REDBULL RACING HONDA
13,RUS,KVYAT,DANIIL,0,2020,ALPHATAURI HONDA
14,GER,HULKENBERG,NICO,0,2020,RACING POINT BWT MERCEDES
15,FRA,OCON,ESTEBAN,0,2020,RENAULT
16,NED,VERSTAPPEN,MAX,0,2020,REDBULL RACING HONDA
17,GBR,HAMILTON,LEWIS,0,2020,MERCEDES
18,ESP,SAINZ,CARLOS,0,2020,MCLAREN RENAULT
19,GBR,RUSSELL,GEORGE,0,2020,WILLIAMS MERCEDES
20,FIN,BOTTAS,VALTTERI,0,2020,MERCEDES
21,ITA,GIOVINAZZI,ANTONIO,0,2020,ALFA ROMEO FERRARI
