Race_Name,Date,Country,State,Circuit_Name,Year
AUSTRIA GRAND PRIX, 2020-03-05,AUSTRIA,STYRIA,RED BULL RING,2020
STYRIA GRAND PRIX, 2020-04-12,AUSTRIA,BURGENLAND,RED BULL RING,2020
HUNGARY GRAND PRIX, 2020-05-19,HUNGARY,BUDAPEST,HUNGARORING,2020
BRITISH GRAND PRIX, 2020-05-24,GREAT BRITAIN,NORTHAMPTONSHIRE,SILVERSTONE,2020
BAHRAIN GRAND PRIX, 2020-05-27,BAHRAIN,SAKHIR  ,BAHRAIN INTERNATIONAL CIRCUIT  ,2020
EMILIA ROMAGNA GRAND PRIX, 2020-06-7,ITALY,IMOLA  ,IMOLA  ,2020
PORTUGUESE GRAND PRIX, 2020-06-15,PORTUGAL,PORTIMÃO  ,ALGARVE INTERNATIONAL CIRCUIT  ,2020
SPANISH GRAND PRIX, 2020-06-19,SPAIN,MONTMELÓ  ,CIRCUIT DE BARCELONA-CATALUNYA  ,2020
MONACO GRAND PRIX, 2020-07-7,MONACO,MONTE CARLO  ,CIRCUIT DE MONACO  ,2020
AZERBAIJAN GRAND PRIX, 2020-07-10,AZERBAIJAN,BAKU  ,BAKU CITY CIRCUIT  ,2020
CANADIAN GRAND PRIX, 2020-07-18,CANADA,MONTREAL  ,CIRCUIT GILLES VILLENEUVE  ,2020
FRENCH GRAND PRIX, 2020-07-24,FRANCE,LE CASTELLET  ,CIRCUIT PAUL RICARD  ,2020
BELGIAN GRAND PRIX, 2020-08-12,BELGIUM,STAVELOT  ,CIRCUIT DE SPA-FRANCORCHAMPS  ,2020
DUTCH GRAND PRIX, 2020-08-22,NETHERLANDS,ZANDVOORT  ,CIRCUIT ZANDVOORT  ,2020
ITALIAN GRAND PRIX, 2020-09-10,ITALY,MONZA  ,AUTODROMO NAZIONALE MONZA  ,2020
RUSSIAN GRAND PRIX, 2020-09-18,RUSSIA,SOCHI  ,SOCHI AUTODROM  ,2020
SINGAPORE GRAND PRIX, 2020-09-25,SINGAPORE,SINGAPORE  ,MARINA BAY STREET CIRCUIT  ,2020
JAPANESE GRAND PRIX, 2020-10-6,JAPAN,SUZUKA  ,SUZUKA INTERNATIONAL RACING COURSE  ,2020
UNITED STATES GRAND PRIX, 2020-10-17,UNITED STATES,"AUSTIN, TEXAS  ",CIRCUIT OF THE AMERICAS  ,2020
MEXICAN GRAND PRIX, 2020-10-28,MEXICO,MEXICO CITY  ,AUTODROMO HERMANOS RODRIGUEZ  ,2020
BRAZILIAN GRAND PRIX, 2020-11-12,BRAZIL,SÃO PAULO  ,INTERLAGOS  ,2020
AUSTRALIAN GRAND PRIX, 2020-11-30,AUSTRALIA,MELBOURNE  ,ALBERT PARK CIRCUIT  ,2020
SAUDI ARABIAN GRAND PRIX, 2020-12-11,SAUDI ARABIA,JEDDAH  ,JEDDAH CORNICHE CIRCUIT  ,2020
ABU DHABI GRAND PRIX, 2020-12-31,UNITED ARAB EMIRATES,ABU DHABI,YAS MARINA CIRCUIT,2020
