Result_ID,Position,Points,Driver_ID,Team_Name,Year
 R1,1,25,77,MERCEDES,2020
 R1,2,18,16,FERRARI,2020
 R1,3,16,4,MCLAREN RENAULT,2020
 R1,4,12,44,MERCEDES,2020
 R1,5,10,55,MCLAREN RENAULT,2020
 R1,6,8,11,RACING POINT BWT MERCEDES,2020
 R1,7,6,10,ALPHATAURI HONDA,2020
 R1,8,4,31,RENAULT,2020
 R1,9,2,99,ALFA ROMEO FERRARI,2020
 R1,10,1,5,FERRARI,2020
 R1,11,0,6,WILLIAMS MERCEDES,2020
 R1,12,0,26,ALPHATAURI HONDA,2020
 R1,13,0,23,REDBULL RACING HONDA,2020
 R1,14,0,7,ALFA ROMEO FERRARI,2020
 R1,15,0,63,WILLIAMS MERCEDES,2020
 R1,16,0,8,HAAS FERRARI,2020
 R1,17,0,20,HAAS FERRARI,2020
 R1,18,0,18,RACING POINT BWT MERCEDES,2020
 R1,19,0,3,RENAULT,2020
 R1,20,0,33,REDBULL RACING HONDA,2020
R2,1,25,44,MERCEDES,2020
R2,2,18,77,MERCEDES,2020
R2,3,15,33,REDBULL RACING HONDA,2020
R2,4,12,23,REDBULL RACING HONDA,2020
R2,5,10,4,MCLAREN RENAULT,2020
R2,6,8,11,RACING POINT BWT MERCEDES,2020
R2,7,6,18,RACING POINT BWT MERCEDES,2020
R2,8,4,3,RENAULT,2020
R2,9,3,55,MCLAREN RENAULT,2020
R2,10,1,26,ALPHATAURI HONDA,2020
R2,11,0,7,ALFA ROMEO FERRARI,2020
R2,12,0,20,HAAS FERRARI,2020
R2,13,0,8,HAAS FERRARI,2020
R2,14,0,99,ALFA ROMEO FERRARI,2020
R2,15,0,10,ALPHATAURI HONDA,2020
R2,16,0,63,WILLIAMS MERCEDES,2020
R2,17,0,6,WILLIAMS MERCEDES,2020
R2,18,0,31,RENAULT,2020
R2,19,0,16,FERRARI,2020
R2,20,0,5,FERRARI,2020
R3,1,26,44,MERCEDES,2021
R3,2,18,33,REDBULL RACING HONDA,2021
R3,3,15,77,MERCEDES,2021
R3,4,12,18,RACING POINT BWT MERCEDES,2021
R3,5,10,23,REDBULL RACING HONDA,2021
R3,6,8,5,FERRARI,2021
R3,7,6,11,RACING POINT BWT MERCEDES,2021
R3,8,4,3,RENAULT,2021
R3,9,2,55,MCLAREN RENAULT,2021
R3,10,1,20,HAAS FERRARI,2021
R3,11,0,16,FERRARI,2021
R3,12,0,26,ALPHATAURI HONDA,2021
R3,13,0,4,MCLAREN RENAULT,2021
R3,14,0,31,RENAULT,2021
R3,15,0,7,ALFA ROMEO FERRARI,2021
R3,16,0,8,HAAS FERRARI,2021
R3,17,0,99,ALFA ROMEO FERRARI,2021
R3,18,0,63,WILLIAMS MERCEDES,2021
R3,19,0,6,WILLIAMS MERCEDES,2021
R3,20,0,10,ALPHATAURI HONDA,2021
R4,1,25,44,MERCEDES,2021
R4,2,19,33,REDBULL RACING HONDA,2021
R4,3,15,16,FERRARI,2021
R4,4,12,3,RENAULT,2021
R4,5,10,4,MCLAREN RENAULT,2021
R4,6,8,31,RENAULT,2021
R4,7,6,10,ALPHATAURI HONDA,2021
R4,8,4,23,REDBULL RACING HONDA,2021
R4,9,2,18,RACING POINT BWT MERCEDES,2021
R4,10,1,5,FERRARI,2021
R4,11,0,77,MERCEDES,2021
R4,12,0,63,WILLIAMS MERCEDES,2021
R4,13,0,55,MCLAREN RENAULT,2021
R4,14,0,99,ALFA ROMEO FERRARI,2021
R4,15,0,6,WILLIAMS MERCEDES,2021
R4,16,0,8,HAAS FERRARI,2021
R4,17,0,7,ALFA ROMEO FERRARI,2021
R4,18,0,26,ALPHATAURI HONDA,2021
R4,19,0,20,HAAS FERRARI,2021
R4,20,0,27,RACING POINT BWT MERCEDES,2021
